apodo;correo;tiempo
Lil_Mama;Lil_Mama@vtr.net;2:29:37,458
Lil_Mama;Lil_Mama@vtr.net;3:12:04,204
Lil_Mama;Lil_Mama@vtr.net;1:30:38,521
Lil_Mama;Lil_Mama@vtr.net;3:56:43,237
Lil_Mama;Lil_Mama@vtr.net;2:44:43,073
Huggy;Huggy@email.com;3:41:03,675
Huggy;Huggy@email.com;3:02:42,602
Huggy;Huggy@email.com;3:39:02,825
Huggy;Huggy@email.com;3:43:08,834
Huggy;Huggy@email.com;3:41:34,609
Lulu_the_Latif;Lulu_the_Latif@yahoo.com;2:15:18,383
Lulu_the_Latif;Lulu_the_Latif@yahoo.com;1:25:39,267
Lulu_the_Latif;Lulu_the_Latif@yahoo.com;1:30:20,878
Lulu_the_Latif;Lulu_the_Latif@yahoo.com;2:06:38,271
Lulu_the_Latif;Lulu_the_Latif@yahoo.com;2:19:14,253
