apodo;correo;tiempo
Love;Love@gmail.com;2:52:52,082
Love;Love@gmail.com;3:55:02,101
Love;Love@gmail.com;3:06:45,919
Love;Love@gmail.com;1:11:49,007
Love;Love@gmail.com;3:31:02,267
Doofus;Doofus@gmail.com;2:53:11,939
Doofus;Doofus@gmail.com;2:25:40,257
Doofus;Doofus@gmail.com;1:03:07,448
Doofus;Doofus@gmail.com;3:33:31,213
Doofus;Doofus@gmail.com;1:39:10,476
Freezer;Freezer@yahoo.com;3:17:33,843
Freezer;Freezer@yahoo.com;1:57:14,859
Freezer;Freezer@yahoo.com;3:47:11,959
Freezer;Freezer@yahoo.com;2:19:39,758
Freezer;Freezer@yahoo.com;2:45:17,397
