apodo;correo;tiempo
Drakone;Drakone@vtr.net;1:59:53,052
Drakone;Drakone@vtr.net;3:55:47,112
Drakone;Drakone@vtr.net;2:12:01,903
Drakone;Drakone@vtr.net;1:10:48,562
Drakone;Drakone@vtr.net;3:42:12,859
Senior;Senior@email.com;1:18:46,573
Senior;Senior@email.com;1:05:09,702
Senior;Senior@email.com;2:36:41,769
Senior;Senior@email.com;2:02:52,149
Senior;Senior@email.com;2:30:10,059
Graeco_Federico;Graeco_Federico@email.com;2:42:12,708
Graeco_Federico;Graeco_Federico@email.com;3:44:54,111
Graeco_Federico;Graeco_Federico@email.com;3:34:13,436
Graeco_Federico;Graeco_Federico@email.com;2:55:05,945
Graeco_Federico;Graeco_Federico@email.com;1:15:19,949
Fifi;Fifi@yahoo.com;2:36:18,804
Fifi;Fifi@yahoo.com;3:38:40,560
Fifi;Fifi@yahoo.com;2:28:03,747
Fifi;Fifi@yahoo.com;2:30:01,986
Fifi;Fifi@yahoo.com;2:35:19,139
