apodo;correo;tiempo
Vegeta;Vegeta@gmail.com;3:27:31,773
Vegeta;Vegeta@gmail.com;3:29:21,993
Vegeta;Vegeta@gmail.com;2:35:27,313
Vegeta;Vegeta@gmail.com;2:25:16,360
Vegeta;Vegeta@gmail.com;2:36:28,025
Insignificant_Lulu;Insignificant_Lulu@yahoo.com;2:19:17,244
Insignificant_Lulu;Insignificant_Lulu@yahoo.com;2:25:32,563
Insignificant_Lulu;Insignificant_Lulu@yahoo.com;3:22:20,581
Insignificant_Lulu;Insignificant_Lulu@yahoo.com;3:17:20,645
Insignificant_Lulu;Insignificant_Lulu@yahoo.com;3:44:49,478
