apodo;correo;tiempo
Big_Guy;Big_Guy@gmail.com;3:04:01,348
Big_Guy;Big_Guy@gmail.com;2:26:23,840
Big_Guy;Big_Guy@gmail.com;2:44:15,076
Big_Guy;Big_Guy@gmail.com;3:42:59,412
Big_Guy;Big_Guy@gmail.com;1:04:16,324
Crumpled_Lulu;Crumpled_Lulu@vtr.net;2:47:07,859
Crumpled_Lulu;Crumpled_Lulu@vtr.net;3:41:17,335
Crumpled_Lulu;Crumpled_Lulu@vtr.net;1:36:17,076
Crumpled_Lulu;Crumpled_Lulu@vtr.net;2:44:36,834
Crumpled_Lulu;Crumpled_Lulu@vtr.net;3:57:48,226
Federico_the_Crazy;Federico_the_Crazy@gmail.com;1:22:58,796
Federico_the_Crazy;Federico_the_Crazy@gmail.com;2:02:06,942
Federico_the_Crazy;Federico_the_Crazy@gmail.com;2:40:35,749
Federico_the_Crazy;Federico_the_Crazy@gmail.com;2:42:44,899
Federico_the_Crazy;Federico_the_Crazy@gmail.com;1:02:33,218
