apodo;correo;tiempo
Karnos;Karnos@vtr.net;2:31:30,942
Karnos;Karnos@vtr.net;3:36:04,636
Karnos;Karnos@vtr.net;3:24:39,020
Karnos;Karnos@vtr.net;3:45:52,630
Karnos;Karnos@vtr.net;3:35:59,056
Cotton;Cotton@hotmail.com;2:54:32,940
Cotton;Cotton@hotmail.com;3:14:36,789
Cotton;Cotton@hotmail.com;3:15:58,598
Cotton;Cotton@hotmail.com;1:20:30,371
Cotton;Cotton@hotmail.com;2:57:51,699
Homer;Homer@yahoo.com;1:10:47,207
Homer;Homer@yahoo.com;3:26:29,687
Homer;Homer@yahoo.com;3:12:00,672
Homer;Homer@yahoo.com;1:10:49,370
Homer;Homer@yahoo.com;2:32:05,150
