apodo;correo;tiempo
Charutinho;Charutinho@yahoo.com;2:00:59,416
Charutinho;Charutinho@yahoo.com;1:35:59,952
Charutinho;Charutinho@yahoo.com;2:53:24,604
Charutinho;Charutinho@yahoo.com;3:19:30,001
Charutinho;Charutinho@yahoo.com;1:55:17,178
Razor;Razor@yahoo.com;1:04:20,692
Razor;Razor@yahoo.com;2:02:54,409
Razor;Razor@yahoo.com;3:46:32,395
Razor;Razor@yahoo.com;1:05:08,752
Razor;Razor@yahoo.com;2:44:25,181
Pollito;Pollito@hotmail.com;1:16:30,063
Pollito;Pollito@hotmail.com;3:14:04,400
Pollito;Pollito@hotmail.com;3:46:58,810
Pollito;Pollito@hotmail.com;3:54:31,658
Pollito;Pollito@hotmail.com;2:15:00,468
SexyShooter;SexyShooter@hotmail.com;1:54:35,777
SexyShooter;SexyShooter@hotmail.com;1:53:47,063
SexyShooter;SexyShooter@hotmail.com;3:42:54,527
SexyShooter;SexyShooter@hotmail.com;1:27:59,051
SexyShooter;SexyShooter@hotmail.com;3:35:43,799
