apodo;correo;tiempo
Dearest;Dearest@gmail.com;3:52:28,283
Dearest;Dearest@gmail.com;2:47:50,267
Dearest;Dearest@gmail.com;3:15:32,589
Dearest;Dearest@gmail.com;3:56:46,697
Dearest;Dearest@gmail.com;2:38:48,349
Cottonball;Cottonball@gmail.com;2:12:16,378
Cottonball;Cottonball@gmail.com;2:23:40,475
Cottonball;Cottonball@gmail.com;3:12:27,211
Cottonball;Cottonball@gmail.com;1:14:17,231
Cottonball;Cottonball@gmail.com;3:04:50,715
Cocodrilo;Cocodrilo@gmail.com;3:53:13,796
Cocodrilo;Cocodrilo@gmail.com;1:10:23,570
Cocodrilo;Cocodrilo@gmail.com;2:02:01,098
Cocodrilo;Cocodrilo@gmail.com;2:24:17,841
Cocodrilo;Cocodrilo@gmail.com;1:25:07,175
Bruv;Bruv@vtr.net;3:53:29,233
Bruv;Bruv@vtr.net;3:22:36,261
Bruv;Bruv@vtr.net;2:36:30,803
Bruv;Bruv@vtr.net;1:09:03,870
Bruv;Bruv@vtr.net;3:34:53,300
Muscles;Muscles@gmail.com;3:24:04,872
Muscles;Muscles@gmail.com;2:30:23,802
Muscles;Muscles@gmail.com;2:19:30,182
Muscles;Muscles@gmail.com;3:41:53,645
Muscles;Muscles@gmail.com;3:35:07,731
