apodo;correo;tiempo
LaLa;LaLa@email.com;1:04:27,892
LaLa;LaLa@email.com;1:33:57,754
LaLa;LaLa@email.com;1:27:00,352
LaLa;LaLa@email.com;2:11:25,516
LaLa;LaLa@email.com;2:52:09,675
Forgettable_Federico;Forgettable_Federico@gmail.com;1:38:22,236
Forgettable_Federico;Forgettable_Federico@gmail.com;3:34:16,589
Forgettable_Federico;Forgettable_Federico@gmail.com;1:44:27,917
Forgettable_Federico;Forgettable_Federico@gmail.com;1:26:16,485
Forgettable_Federico;Forgettable_Federico@gmail.com;2:41:29,189
Hew_Lulu;Hew_Lulu@email.com;3:46:48,746
Hew_Lulu;Hew_Lulu@email.com;3:11:21,310
Hew_Lulu;Hew_Lulu@email.com;3:18:08,108
Hew_Lulu;Hew_Lulu@email.com;2:04:48,521
Hew_Lulu;Hew_Lulu@email.com;1:21:18,429
Cindy_Lou_Who;Cindy_Lou_Who@hotmail.com;1:40:29,315
Cindy_Lou_Who;Cindy_Lou_Who@hotmail.com;2:41:27,787
Cindy_Lou_Who;Cindy_Lou_Who@hotmail.com;2:21:57,827
Cindy_Lou_Who;Cindy_Lou_Who@hotmail.com;2:09:03,034
Cindy_Lou_Who;Cindy_Lou_Who@hotmail.com;3:28:12,692
Inchworm;Inchworm@yahoo.com;2:49:21,621
Inchworm;Inchworm@yahoo.com;2:53:33,362
Inchworm;Inchworm@yahoo.com;2:51:54,502
Inchworm;Inchworm@yahoo.com;1:24:29,883
Inchworm;Inchworm@yahoo.com;1:51:10,958
Dove;Dove@vtr.net;2:10:34,213
Dove;Dove@vtr.net;1:11:32,661
Dove;Dove@vtr.net;2:46:17,579
Dove;Dove@vtr.net;2:18:16,714
Dove;Dove@vtr.net;3:00:11,244
Feisty_Federico;Feisty_Federico@yahoo.com;1:39:27,050
Feisty_Federico;Feisty_Federico@yahoo.com;1:51:12,732
Feisty_Federico;Feisty_Federico@yahoo.com;3:37:32,865
Feisty_Federico;Feisty_Federico@yahoo.com;2:48:20,282
Feisty_Federico;Feisty_Federico@yahoo.com;3:41:55,496
