apodo;correo;tiempo
Mild_Chip;Mild_Chip@gmail.com;3:09:56,299
Mild_Chip;Mild_Chip@gmail.com;1:54:06,813
Mild_Chip;Mild_Chip@gmail.com;1:04:28,486
Mild_Chip;Mild_Chip@gmail.com;3:59:20,731
Mild_Chip;Mild_Chip@gmail.com;2:24:18,246
Bebecito;Bebecito@email.com;1:14:43,241
Bebecito;Bebecito@email.com;2:56:49,129
Bebecito;Bebecito@email.com;3:38:24,577
Bebecito;Bebecito@email.com;1:52:22,816
Bebecito;Bebecito@email.com;2:38:07,669
Pelao;Pelao@gmail.com;3:35:56,143
Pelao;Pelao@gmail.com;3:05:15,291
Pelao;Pelao@gmail.com;3:17:46,923
Pelao;Pelao@gmail.com;1:52:37,464
Pelao;Pelao@gmail.com;1:11:09,392
