apodo;correo;tiempo
Tickles;Tickles@gmail.com;3:10:51,644
Tickles;Tickles@gmail.com;2:10:40,368
Tickles;Tickles@gmail.com;1:49:51,290
Tickles;Tickles@gmail.com;1:17:14,392
Tickles;Tickles@gmail.com;2:11:30,912
Kaiser;Kaiser@hotmail.com;2:05:15,434
Kaiser;Kaiser@hotmail.com;3:23:48,569
Kaiser;Kaiser@hotmail.com;1:07:17,726
Kaiser;Kaiser@hotmail.com;2:13:10,531
Kaiser;Kaiser@hotmail.com;1:52:35,809
Loathsome_Lewis;Loathsome_Lewis@vtr.net;3:09:56,299
Loathsome_Lewis;Loathsome_Lewis@vtr.net;3:43:21,968
Loathsome_Lewis;Loathsome_Lewis@vtr.net;3:51:53,130
Loathsome_Lewis;Loathsome_Lewis@vtr.net;2:31:13,855
Loathsome_Lewis;Loathsome_Lewis@vtr.net;2:00:18,236
