apodo;correo;tiempo
Salt;Salt@yahoo.com;1:24:13,448
Salt;Salt@yahoo.com;2:38:18,533
Salt;Salt@yahoo.com;2:13:00,191
Salt;Salt@yahoo.com;1:24:42,202
Salt;Salt@yahoo.com;2:56:14,826
Muñeco;Muñeco@vtr.net;1:55:32,613
Muñeco;Muñeco@vtr.net;1:36:41,179
Muñeco;Muñeco@vtr.net;3:29:21,824
Muñeco;Muñeco@vtr.net;3:08:21,487
Muñeco;Muñeco@vtr.net;2:31:59,922
Assuasive_Lulu;Assuasive_Lulu@email.com;2:39:45,337
Assuasive_Lulu;Assuasive_Lulu@email.com;2:16:46,126
Assuasive_Lulu;Assuasive_Lulu@email.com;1:54:46,413
Assuasive_Lulu;Assuasive_Lulu@email.com;1:38:29,836
Assuasive_Lulu;Assuasive_Lulu@email.com;1:00:17,152
