apodo;correo;tiempo
Peppermint;Peppermint@vtr.net;3:16:53,669
Peppermint;Peppermint@vtr.net;1:37:30,203
Peppermint;Peppermint@vtr.net;3:29:51,394
Peppermint;Peppermint@vtr.net;1:23:51,352
Peppermint;Peppermint@vtr.net;2:35:17,096
Shorty;Shorty@hotmail.com;3:15:29,755
Shorty;Shorty@hotmail.com;3:21:40,913
Shorty;Shorty@hotmail.com;1:56:30,308
Shorty;Shorty@hotmail.com;2:40:32,037
Shorty;Shorty@hotmail.com;1:04:23,596
Green_Giant;Green_Giant@gmail.com;2:53:06,683
Green_Giant;Green_Giant@gmail.com;2:09:26,711
Green_Giant;Green_Giant@gmail.com;2:17:41,707
Green_Giant;Green_Giant@gmail.com;2:11:14,045
Green_Giant;Green_Giant@gmail.com;3:48:19,578
