apodo;correo;tiempo
Merry;Merry@hotmail.com;3:18:44,956
Merry;Merry@hotmail.com;1:26:50,341
Merry;Merry@hotmail.com;3:13:14,262
Merry;Merry@hotmail.com;1:54:14,309
Merry;Merry@hotmail.com;3:32:47,049
Galleta_de_Chile;Galleta_de_Chile@gmail.com;2:53:43,039
Galleta_de_Chile;Galleta_de_Chile@gmail.com;3:14:14,004
Galleta_de_Chile;Galleta_de_Chile@gmail.com;1:47:51,425
Galleta_de_Chile;Galleta_de_Chile@gmail.com;1:34:15,354
Galleta_de_Chile;Galleta_de_Chile@gmail.com;2:17:32,817
Cutie;Cutie@hotmail.com;3:22:59,009
Cutie;Cutie@hotmail.com;2:21:04,581
Cutie;Cutie@hotmail.com;1:37:43,109
Cutie;Cutie@hotmail.com;3:19:35,464
Cutie;Cutie@hotmail.com;1:13:45,821
