apodo;correo;tiempo
Freckles;Freckles@email.com;3:06:03,735
Freckles;Freckles@email.com;3:46:47,758
Freckles;Freckles@email.com;3:21:07,833
Freckles;Freckles@email.com;3:56:03,044
Freckles;Freckles@email.com;2:05:24,438
Mesmerizer;Mesmerizer@email.com;2:58:22,016
Mesmerizer;Mesmerizer@email.com;2:35:04,577
Mesmerizer;Mesmerizer@email.com;3:39:17,032
Mesmerizer;Mesmerizer@email.com;1:29:14,008
Mesmerizer;Mesmerizer@email.com;2:39:49,189
Honeybun;Honeybun@yahoo.com;2:20:28,071
Honeybun;Honeybun@yahoo.com;3:03:30,981
Honeybun;Honeybun@yahoo.com;1:43:35,829
Honeybun;Honeybun@yahoo.com;2:13:08,868
Honeybun;Honeybun@yahoo.com;3:32:10,308
