apodo;correo;tiempo
Lewinator;Lewinator@yahoo.com;3:24:44,525
Lewinator;Lewinator@yahoo.com;2:26:17,771
Lewinator;Lewinator@yahoo.com;2:15:23,202
Lewinator;Lewinator@yahoo.com;1:15:00,265
Lewinator;Lewinator@yahoo.com;2:01:55,330
Deathly_Federico;Deathly_Federico@hotmail.com;3:53:41,558
Deathly_Federico;Deathly_Federico@hotmail.com;1:49:38,466
Deathly_Federico;Deathly_Federico@hotmail.com;1:11:47,152
Deathly_Federico;Deathly_Federico@hotmail.com;3:16:43,684
Deathly_Federico;Deathly_Federico@hotmail.com;3:20:56,364
Reaper;Reaper@yahoo.com;3:43:22,490
Reaper;Reaper@yahoo.com;3:25:12,550
Reaper;Reaper@yahoo.com;1:26:54,948
Reaper;Reaper@yahoo.com;3:47:14,699
Reaper;Reaper@yahoo.com;2:47:21,268
