apodo;correo;tiempo
Boomhauer;Boomhauer@hotmail.com;3:52:12,071
Boomhauer;Boomhauer@hotmail.com;1:30:30,784
Boomhauer;Boomhauer@hotmail.com;2:09:47,684
Boomhauer;Boomhauer@hotmail.com;2:28:26,154
Boomhauer;Boomhauer@hotmail.com;1:26:10,438
Snow_White;Snow_White@email.com;2:18:23,421
Snow_White;Snow_White@email.com;3:46:48,746
Snow_White;Snow_White@email.com;1:27:47,137
Snow_White;Snow_White@email.com;2:45:17,397
Snow_White;Snow_White@email.com;1:15:06,762
Dreamey;Dreamey@yahoo.com;1:52:33,957
Dreamey;Dreamey@yahoo.com;3:50:03,864
Dreamey;Dreamey@yahoo.com;2:39:14,278
Dreamey;Dreamey@yahoo.com;2:25:32,563
Dreamey;Dreamey@yahoo.com;2:13:48,816
