apodo;correo;tiempo
Satchel;Satchel@gmail.com;2:52:21,361
Satchel;Satchel@gmail.com;2:50:26,253
Satchel;Satchel@gmail.com;3:57:20,474
Satchel;Satchel@gmail.com;2:33:18,992
Satchel;Satchel@gmail.com;3:36:09,560
Marge;Marge@gmail.com;2:16:46,155
Marge;Marge@gmail.com;1:22:35,519
Marge;Marge@gmail.com;3:19:56,647
Marge;Marge@gmail.com;1:44:41,074
Marge;Marge@gmail.com;2:11:07,915
Ceci;Ceci@yahoo.com;1:04:18,678
Ceci;Ceci@yahoo.com;2:45:04,862
Ceci;Ceci@yahoo.com;2:11:39,480
Ceci;Ceci@yahoo.com;1:56:34,179
Ceci;Ceci@yahoo.com;3:13:25,884
