apodo;correo;tiempo
Elsa_lami;Elsa_lami@email.com;3:18:47,788
Elsa_lami;Elsa_lami@email.com;3:31:59,067
Elsa_lami;Elsa_lami@email.com;2:12:08,257
Elsa_lami;Elsa_lami@email.com;2:28:12,717
Elsa_lami;Elsa_lami@email.com;2:26:17,771
Coizado;Coizado@yahoo.com;2:59:00,536
Coizado;Coizado@yahoo.com;1:22:29,744
Coizado;Coizado@yahoo.com;3:35:21,674
Coizado;Coizado@yahoo.com;3:20:34,896
Coizado;Coizado@yahoo.com;1:44:29,630
Feeble_Federico;Feeble_Federico@hotmail.com;1:15:52,405
Feeble_Federico;Feeble_Federico@hotmail.com;1:41:32,155
Feeble_Federico;Feeble_Federico@hotmail.com;1:31:25,019
Feeble_Federico;Feeble_Federico@hotmail.com;1:31:12,400
Feeble_Federico;Feeble_Federico@hotmail.com;1:53:21,188
