apodo;correo;tiempo
Divertido;Divertido@email.com;1:47:25,995
Divertido;Divertido@email.com;3:54:49,925
Divertido;Divertido@email.com;3:07:58,467
Divertido;Divertido@email.com;1:41:15,295
Divertido;Divertido@email.com;1:12:51,318
Shotcaller;Shotcaller@gmail.com;1:21:59,826
Shotcaller;Shotcaller@gmail.com;1:21:18,952
Shotcaller;Shotcaller@gmail.com;2:16:35,301
Shotcaller;Shotcaller@gmail.com;3:30:03,700
Shotcaller;Shotcaller@gmail.com;2:09:13,128
Speaker;Speaker@hotmail.com;2:30:07,671
Speaker;Speaker@hotmail.com;2:01:37,573
Speaker;Speaker@hotmail.com;2:18:21,360
Speaker;Speaker@hotmail.com;2:50:41,218
Speaker;Speaker@hotmail.com;1:00:27,357
Nano;Nano@hotmail.com;2:39:25,325
Nano;Nano@hotmail.com;3:04:04,977
Nano;Nano@hotmail.com;1:29:10,032
Nano;Nano@hotmail.com;3:31:53,643
Nano;Nano@hotmail.com;2:41:04,265
Bumpkin;Bumpkin@vtr.net;2:07:28,487
Bumpkin;Bumpkin@vtr.net;3:17:55,686
Bumpkin;Bumpkin@vtr.net;1:49:37,413
Bumpkin;Bumpkin@vtr.net;3:20:48,097
Bumpkin;Bumpkin@vtr.net;2:37:01,927
