apodo;correo;tiempo
Kid;Kid@vtr.net;2:01:19,181
Kid;Kid@vtr.net;1:11:28,889
Kid;Kid@vtr.net;2:12:02,193
Kid;Kid@vtr.net;2:23:20,082
Kid;Kid@vtr.net;3:36:42,744
Maggie;Maggie@hotmail.com;1:24:42,951
Maggie;Maggie@hotmail.com;1:30:07,567
Maggie;Maggie@hotmail.com;3:14:23,645
Maggie;Maggie@hotmail.com;1:54:09,858
Maggie;Maggie@hotmail.com;2:54:23,398
Ice_Queen;Ice_Queen@hotmail.com;1:25:32,326
Ice_Queen;Ice_Queen@hotmail.com;1:15:03,323
Ice_Queen;Ice_Queen@hotmail.com;3:56:19,521
Ice_Queen;Ice_Queen@hotmail.com;1:15:46,816
Ice_Queen;Ice_Queen@hotmail.com;1:09:49,495
