apodo;correo;tiempo
Big_Bird;Big_Bird@vtr.net;1:13:25,406
Big_Bird;Big_Bird@vtr.net;1:59:58,819
Big_Bird;Big_Bird@vtr.net;2:41:23,703
Big_Bird;Big_Bird@vtr.net;1:24:10,963
Big_Bird;Big_Bird@vtr.net;3:06:14,064
Catatonic_Lulu;Catatonic_Lulu@email.com;3:14:02,290
Catatonic_Lulu;Catatonic_Lulu@email.com;1:15:55,412
Catatonic_Lulu;Catatonic_Lulu@email.com;2:27:53,590
Catatonic_Lulu;Catatonic_Lulu@email.com;2:52:11,885
Catatonic_Lulu;Catatonic_Lulu@email.com;2:02:34,517
Sherlock;Sherlock@email.com;1:49:12,371
Sherlock;Sherlock@email.com;1:11:00,926
Sherlock;Sherlock@email.com;3:19:22,033
Sherlock;Sherlock@email.com;1:43:06,252
Sherlock;Sherlock@email.com;2:50:23,940
