apodo;correo;tiempo
Talos;Talos@gmail.com;2:04:42,753
Talos;Talos@gmail.com;3:19:43,879
Talos;Talos@gmail.com;3:15:16,471
Talos;Talos@gmail.com;3:11:47,183
Talos;Talos@gmail.com;1:48:27,533
Frici;Frici@gmail.com;3:16:43,891
Frici;Frici@gmail.com;1:27:32,807
Frici;Frici@gmail.com;3:55:52,796
Frici;Frici@gmail.com;2:40:43,249
Frici;Frici@gmail.com;2:42:52,028
Cherry;Cherry@email.com;1:54:14,309
Cherry;Cherry@email.com;3:39:43,352
Cherry;Cherry@email.com;1:09:24,741
Cherry;Cherry@email.com;2:57:39,337
Cherry;Cherry@email.com;3:22:32,495
Golden_Graham;Golden_Graham@vtr.net;2:15:44,179
Golden_Graham;Golden_Graham@vtr.net;1:17:39,421
Golden_Graham;Golden_Graham@vtr.net;1:58:04,013
Golden_Graham;Golden_Graham@vtr.net;2:19:32,935
Golden_Graham;Golden_Graham@vtr.net;1:00:09,985
