apodo;correo;tiempo
Frightening_Federico;Frightening_Federico@hotmail.com;1:47:58,792
Frightening_Federico;Frightening_Federico@hotmail.com;1:35:15,901
Frightening_Federico;Frightening_Federico@hotmail.com;2:43:57,719
Frightening_Federico;Frightening_Federico@hotmail.com;2:31:07,580
Frightening_Federico;Frightening_Federico@hotmail.com;3:16:36,629
Pixie;Pixie@yahoo.com;2:11:23,106
Pixie;Pixie@yahoo.com;2:36:57,711
Pixie;Pixie@yahoo.com;3:14:31,226
Pixie;Pixie@yahoo.com;1:22:21,626
Pixie;Pixie@yahoo.com;1:15:51,597
Amigo;Amigo@email.com;2:36:16,298
Amigo;Amigo@email.com;1:02:11,144
Amigo;Amigo@email.com;1:33:47,175
Amigo;Amigo@email.com;1:06:35,865
Amigo;Amigo@email.com;1:06:27,390
Azul;Azul@gmail.com;2:19:04,612
Azul;Azul@gmail.com;1:52:22,816
Azul;Azul@gmail.com;1:25:05,780
Azul;Azul@gmail.com;2:05:22,938
Azul;Azul@gmail.com;3:23:22,392
