apodo;correo;tiempo
Mountain;Mountain@vtr.net;3:42:58,260
Mountain;Mountain@vtr.net;3:42:37,352
Mountain;Mountain@vtr.net;3:29:13,440
Mountain;Mountain@vtr.net;1:19:35,646
Mountain;Mountain@vtr.net;1:06:49,806
Cucha;Cucha@email.com;3:29:45,845
Cucha;Cucha@email.com;1:15:50,995
Cucha;Cucha@email.com;2:08:58,764
Cucha;Cucha@email.com;2:41:38,042
Cucha;Cucha@email.com;1:33:07,976
Sabrosura;Sabrosura@vtr.net;2:09:25,825
Sabrosura;Sabrosura@vtr.net;2:04:02,849
Sabrosura;Sabrosura@vtr.net;1:59:41,670
Sabrosura;Sabrosura@vtr.net;2:27:21,343
Sabrosura;Sabrosura@vtr.net;1:00:03,369
Rosebud;Rosebud@hotmail.com;2:42:39,933
Rosebud;Rosebud@hotmail.com;3:51:28,140
Rosebud;Rosebud@hotmail.com;3:29:06,470
Rosebud;Rosebud@hotmail.com;3:51:09,516
Rosebud;Rosebud@hotmail.com;3:04:29,648
Iron_SEUNOME;Iron_SEUNOME@email.com;3:29:00,511
Iron_SEUNOME;Iron_SEUNOME@email.com;3:49:04,093
Iron_SEUNOME;Iron_SEUNOME@email.com;2:26:10,968
Iron_SEUNOME;Iron_SEUNOME@email.com;1:57:44,058
Iron_SEUNOME;Iron_SEUNOME@email.com;2:38:15,646
