apodo;correo;tiempo
Lulubob;Lulubob@yahoo.com;2:17:02,530
Lulubob;Lulubob@yahoo.com;2:50:19,576
Lulubob;Lulubob@yahoo.com;2:36:40,325
Lulubob;Lulubob@yahoo.com;1:59:15,963
Lulubob;Lulubob@yahoo.com;1:02:17,964
Ladybug;Ladybug@vtr.net;3:40:41,899
Ladybug;Ladybug@vtr.net;3:36:28,381
Ladybug;Ladybug@vtr.net;3:33:03,269
Ladybug;Ladybug@vtr.net;1:46:17,880
Ladybug;Ladybug@vtr.net;2:09:59,885
Elvis_Tek;Elvis_Tek@yahoo.com;3:58:56,270
Elvis_Tek;Elvis_Tek@yahoo.com;2:43:31,819
Elvis_Tek;Elvis_Tek@yahoo.com;3:40:53,193
Elvis_Tek;Elvis_Tek@yahoo.com;1:15:56,044
Elvis_Tek;Elvis_Tek@yahoo.com;3:07:39,021
Creedence;Creedence@email.com;3:56:14,227
Creedence;Creedence@email.com;2:28:20,892
Creedence;Creedence@email.com;2:01:17,755
Creedence;Creedence@email.com;1:23:44,020
Creedence;Creedence@email.com;2:06:11,352
