apodo;correo;tiempo
Jaha;Jaha@vtr.net;2:36:02,892
Jaha;Jaha@vtr.net;1:04:31,758
Jaha;Jaha@vtr.net;2:04:48,521
Jaha;Jaha@vtr.net;3:20:31,390
Jaha;Jaha@vtr.net;3:35:01,027
Teeny;Teeny@yahoo.com;1:51:32,418
Teeny;Teeny@yahoo.com;3:21:45,360
Teeny;Teeny@yahoo.com;1:20:46,847
Teeny;Teeny@yahoo.com;2:24:11,475
Teeny;Teeny@yahoo.com;1:00:14,762
Buds;Buds@email.com;2:52:36,719
Buds;Buds@email.com;2:06:58,104
Buds;Buds@email.com;2:04:42,280
Buds;Buds@email.com;3:30:12,238
Buds;Buds@email.com;3:47:39,814
Chief;Chief@hotmail.com;1:57:29,795
Chief;Chief@hotmail.com;1:23:02,864
Chief;Chief@hotmail.com;3:45:38,048
Chief;Chief@hotmail.com;1:29:02,833
Chief;Chief@hotmail.com;3:57:59,030
