apodo;correo;tiempo
Raisinburg;Raisinburg@gmail.com;2:01:10,145
Raisinburg;Raisinburg@gmail.com;1:14:18,301
Raisinburg;Raisinburg@gmail.com;2:33:22,283
Raisinburg;Raisinburg@gmail.com;2:25:25,163
Raisinburg;Raisinburg@gmail.com;1:23:06,488
Biffle;Biffle@email.com;2:44:25,767
Biffle;Biffle@email.com;3:36:49,554
Biffle;Biffle@email.com;2:54:43,884
Biffle;Biffle@email.com;2:39:05,874
Biffle;Biffle@email.com;1:04:31,728
Rising_Sun;Rising_Sun@vtr.net;1:25:20,873
Rising_Sun;Rising_Sun@vtr.net;1:56:04,303
Rising_Sun;Rising_Sun@vtr.net;2:36:13,151
Rising_Sun;Rising_Sun@vtr.net;1:52:16,719
Rising_Sun;Rising_Sun@vtr.net;1:23:43,127
