apodo;correo;tiempo
Featureless_Federico;Featureless_Federico@hotmail.com;2:46:36,540
Featureless_Federico;Featureless_Federico@hotmail.com;3:26:31,581
Featureless_Federico;Featureless_Federico@hotmail.com;2:19:51,876
Featureless_Federico;Featureless_Federico@hotmail.com;3:47:44,365
Featureless_Federico;Featureless_Federico@hotmail.com;1:26:42,430
Crazy;Crazy@email.com;1:20:43,326
Crazy;Crazy@email.com;2:35:15,024
Crazy;Crazy@email.com;2:47:00,216
Crazy;Crazy@email.com;2:56:58,569
Crazy;Crazy@email.com;2:24:07,077
Hakken;Hakken@hotmail.com;2:38:05,082
Hakken;Hakken@hotmail.com;1:10:35,279
Hakken;Hakken@hotmail.com;1:19:09,454
Hakken;Hakken@hotmail.com;1:03:31,992
Hakken;Hakken@hotmail.com;2:40:22,893
Toots;Toots@email.com;2:44:01,593
Toots;Toots@email.com;2:16:21,412
Toots;Toots@email.com;2:50:11,874
Toots;Toots@email.com;3:40:50,149
Toots;Toots@email.com;3:00:26,739
Beauty;Beauty@gmail.com;3:07:09,372
Beauty;Beauty@gmail.com;3:02:38,481
Beauty;Beauty@gmail.com;2:45:17,966
Beauty;Beauty@gmail.com;2:25:08,666
Beauty;Beauty@gmail.com;3:14:34,392
Kalli;Kalli@gmail.com;2:44:18,627
Kalli;Kalli@gmail.com;1:47:33,468
Kalli;Kalli@gmail.com;1:09:26,733
Kalli;Kalli@gmail.com;1:54:52,636
Kalli;Kalli@gmail.com;3:49:12,304
Dragnovith;Dragnovith@vtr.net;3:12:49,438
Dragnovith;Dragnovith@vtr.net;2:11:31,558
Dragnovith;Dragnovith@vtr.net;2:57:28,251
Dragnovith;Dragnovith@vtr.net;3:21:25,381
Dragnovith;Dragnovith@vtr.net;1:24:59,579
