apodo;correo;tiempo
Lil_Girl;Lil_Girl@yahoo.com;1:22:16,120
Lil_Girl;Lil_Girl@yahoo.com;2:53:04,272
Lil_Girl;Lil_Girl@yahoo.com;1:51:09,571
Lil_Girl;Lil_Girl@yahoo.com;2:12:49,999
Lil_Girl;Lil_Girl@yahoo.com;2:30:43,046
Baldie;Baldie@hotmail.com;1:40:03,991
Baldie;Baldie@hotmail.com;2:19:10,011
Baldie;Baldie@hotmail.com;3:41:50,801
Baldie;Baldie@hotmail.com;1:04:30,994
Baldie;Baldie@hotmail.com;1:58:02,237
Conductor;Conductor@vtr.net;2:02:24,396
Conductor;Conductor@vtr.net;2:51:32,524
Conductor;Conductor@vtr.net;2:23:05,067
Conductor;Conductor@vtr.net;3:42:48,263
Conductor;Conductor@vtr.net;2:51:23,314
Big_Boss;Big_Boss@gmail.com;3:19:00,380
Big_Boss;Big_Boss@gmail.com;2:12:11,076
Big_Boss;Big_Boss@gmail.com;1:17:24,127
Big_Boss;Big_Boss@gmail.com;2:37:30,506
Big_Boss;Big_Boss@gmail.com;2:45:21,991
