apodo;correo;tiempo
Pyscho;Pyscho@gmail.com;1:25:32,231
Pyscho;Pyscho@gmail.com;1:53:30,160
Pyscho;Pyscho@gmail.com;1:23:03,121
Pyscho;Pyscho@gmail.com;2:50:38,318
Pyscho;Pyscho@gmail.com;1:01:49,188
Fun_Size;Fun_Size@vtr.net;2:19:06,833
Fun_Size;Fun_Size@vtr.net;3:36:52,148
Fun_Size;Fun_Size@vtr.net;3:29:20,809
Fun_Size;Fun_Size@vtr.net;3:05:34,193
Fun_Size;Fun_Size@vtr.net;1:09:24,475
Dummy;Dummy@gmail.com;2:28:18,631
Dummy;Dummy@gmail.com;1:24:02,622
Dummy;Dummy@gmail.com;1:22:25,969
Dummy;Dummy@gmail.com;3:31:30,707
Dummy;Dummy@gmail.com;1:24:10,963
Einstein;Einstein@email.com;1:08:51,209
Einstein;Einstein@email.com;3:00:32,229
Einstein;Einstein@email.com;1:10:42,527
Einstein;Einstein@email.com;3:56:04,822
Einstein;Einstein@email.com;2:38:02,492
Nacho;Nacho@vtr.net;2:37:59,532
Nacho;Nacho@vtr.net;3:59:19,720
Nacho;Nacho@vtr.net;3:18:04,833
Nacho;Nacho@vtr.net;1:19:44,597
Nacho;Nacho@vtr.net;3:43:17,872
