apodo;correo;tiempo
Coke_Zero;Coke_Zero@yahoo.com;1:27:14,710
Coke_Zero;Coke_Zero@yahoo.com;1:57:22,983
Coke_Zero;Coke_Zero@yahoo.com;3:40:59,245
Coke_Zero;Coke_Zero@yahoo.com;1:30:29,132
Coke_Zero;Coke_Zero@yahoo.com;1:51:06,514
Freddie;Freddie@hotmail.com;3:22:59,782
Freddie;Freddie@hotmail.com;2:57:51,914
Freddie;Freddie@hotmail.com;2:30:52,155
Freddie;Freddie@hotmail.com;1:48:44,667
Freddie;Freddie@hotmail.com;2:37:53,909
Krayvhus;Krayvhus@email.com;1:56:18,789
Krayvhus;Krayvhus@email.com;2:22:57,377
Krayvhus;Krayvhus@email.com;1:25:12,362
Krayvhus;Krayvhus@email.com;3:16:18,808
Krayvhus;Krayvhus@email.com;3:44:22,531
Cookie_Dough;Cookie_Dough@vtr.net;2:33:54,265
Cookie_Dough;Cookie_Dough@vtr.net;1:30:39,092
Cookie_Dough;Cookie_Dough@vtr.net;2:26:32,919
Cookie_Dough;Cookie_Dough@vtr.net;3:01:45,445
Cookie_Dough;Cookie_Dough@vtr.net;3:43:31,959
