apodo;correo;tiempo
Foxy;Foxy@gmail.com;3:37:21,849
Foxy;Foxy@gmail.com;1:55:26,447
Foxy;Foxy@gmail.com;2:37:05,803
Foxy;Foxy@gmail.com;1:58:26,208
Foxy;Foxy@gmail.com;3:57:09,789
Immature_Lulu;Immature_Lulu@email.com;1:54:30,110
Immature_Lulu;Immature_Lulu@email.com;2:42:48,607
Immature_Lulu;Immature_Lulu@email.com;2:59:15,444
Immature_Lulu;Immature_Lulu@email.com;2:01:43,751
Immature_Lulu;Immature_Lulu@email.com;2:34:41,556
BlitzWolf;BlitzWolf@gmail.com;2:46:29,502
BlitzWolf;BlitzWolf@gmail.com;3:23:54,985
BlitzWolf;BlitzWolf@gmail.com;3:21:55,471
BlitzWolf;BlitzWolf@gmail.com;1:20:34,101
BlitzWolf;BlitzWolf@gmail.com;3:35:33,558
Sam;Sam@vtr.net;2:19:20,397
Sam;Sam@vtr.net;2:41:48,174
Sam;Sam@vtr.net;1:55:40,855
Sam;Sam@vtr.net;3:16:53,669
Sam;Sam@vtr.net;2:27:06,213
