apodo;correo;tiempo
Ticklebutt;Ticklebutt@email.com;3:18:16,230
Ticklebutt;Ticklebutt@email.com;2:14:45,711
Ticklebutt;Ticklebutt@email.com;2:40:35,411
Ticklebutt;Ticklebutt@email.com;1:40:22,658
Ticklebutt;Ticklebutt@email.com;3:58:50,693
Buckeye;Buckeye@email.com;1:02:13,325
Buckeye;Buckeye@email.com;3:22:48,594
Buckeye;Buckeye@email.com;3:13:24,409
Buckeye;Buckeye@email.com;1:14:25,156
Buckeye;Buckeye@email.com;2:42:15,425
Cabeza_de_chorlito;Cabeza_de_chorlito@hotmail.com;3:34:19,135
Cabeza_de_chorlito;Cabeza_de_chorlito@hotmail.com;1:59:03,243
Cabeza_de_chorlito;Cabeza_de_chorlito@hotmail.com;3:41:29,546
Cabeza_de_chorlito;Cabeza_de_chorlito@hotmail.com;1:15:18,855
Cabeza_de_chorlito;Cabeza_de_chorlito@hotmail.com;2:37:30,506
