apodo;correo;tiempo
leopardo;leopardo@hotmail.com;3:01:43,308
leopardo;leopardo@hotmail.com;1:53:08,922
leopardo;leopardo@hotmail.com;1:58:39,262
leopardo;leopardo@hotmail.com;1:02:34,868
leopardo;leopardo@hotmail.com;2:04:10,451
Fanciful_Federico;Fanciful_Federico@hotmail.com;1:30:24,236
Fanciful_Federico;Fanciful_Federico@hotmail.com;1:56:43,767
Fanciful_Federico;Fanciful_Federico@hotmail.com;2:55:53,634
Fanciful_Federico;Fanciful_Federico@hotmail.com;3:14:01,533
Fanciful_Federico;Fanciful_Federico@hotmail.com;1:41:57,001
Little_Lulu;Little_Lulu@vtr.net;1:36:59,351
Little_Lulu;Little_Lulu@vtr.net;1:53:21,188
Little_Lulu;Little_Lulu@vtr.net;2:16:32,524
Little_Lulu;Little_Lulu@vtr.net;1:00:24,763
Little_Lulu;Little_Lulu@vtr.net;2:19:04,612
Pickles;Pickles@yahoo.com;2:50:52,228
Pickles;Pickles@yahoo.com;1:59:42,630
Pickles;Pickles@yahoo.com;2:57:27,877
Pickles;Pickles@yahoo.com;3:58:46,604
Pickles;Pickles@yahoo.com;2:14:45,636
