apodo;correo;tiempo
Myrrah;Myrrah@hotmail.com;1:51:52,375
Myrrah;Myrrah@hotmail.com;2:47:27,636
Myrrah;Myrrah@hotmail.com;1:39:18,940
Myrrah;Myrrah@hotmail.com;1:47:03,121
Myrrah;Myrrah@hotmail.com;2:53:16,411
Formidable_Federico;Formidable_Federico@email.com;2:40:07,340
Formidable_Federico;Formidable_Federico@email.com;1:07:30,688
Formidable_Federico;Formidable_Federico@email.com;1:00:45,221
Formidable_Federico;Formidable_Federico@email.com;1:33:16,249
Formidable_Federico;Formidable_Federico@email.com;3:53:35,656
