apodo;correo;tiempo
Celtic_Frost;Celtic_Frost@email.com;1:44:00,408
Celtic_Frost;Celtic_Frost@email.com;3:58:50,387
Celtic_Frost;Celtic_Frost@email.com;3:59:19,594
Celtic_Frost;Celtic_Frost@email.com;3:34:44,555
Celtic_Frost;Celtic_Frost@email.com;1:13:30,435
Bituca;Bituca@vtr.net;3:08:21,252
Bituca;Bituca@vtr.net;3:39:43,297
Bituca;Bituca@vtr.net;3:26:06,358
Bituca;Bituca@vtr.net;2:17:53,456
Bituca;Bituca@vtr.net;1:07:29,246
Fury;Fury@yahoo.com;3:43:24,981
Fury;Fury@yahoo.com;2:57:16,052
Fury;Fury@yahoo.com;2:39:02,691
Fury;Fury@yahoo.com;2:21:21,835
Fury;Fury@yahoo.com;3:46:22,563
Kerrek;Kerrek@gmail.com;3:21:27,635
Kerrek;Kerrek@gmail.com;1:21:45,307
Kerrek;Kerrek@gmail.com;3:47:47,464
Kerrek;Kerrek@gmail.com;3:20:28,841
Kerrek;Kerrek@gmail.com;3:35:40,713
Theoden;Theoden@email.com;2:22:52,596
Theoden;Theoden@email.com;1:06:27,390
Theoden;Theoden@email.com;3:59:37,852
Theoden;Theoden@email.com;2:46:59,807
Theoden;Theoden@email.com;2:22:13,268
Bumblebee;Bumblebee@yahoo.com;1:35:49,218
Bumblebee;Bumblebee@yahoo.com;2:44:12,693
Bumblebee;Bumblebee@yahoo.com;3:15:19,727
Bumblebee;Bumblebee@yahoo.com;2:46:19,545
Bumblebee;Bumblebee@yahoo.com;1:42:44,159
Destroyer;Destroyer@yahoo.com;3:49:53,309
Destroyer;Destroyer@yahoo.com;2:21:40,945
Destroyer;Destroyer@yahoo.com;1:15:04,761
Destroyer;Destroyer@yahoo.com;1:16:38,439
Destroyer;Destroyer@yahoo.com;3:32:11,969
