apodo;correo;tiempo
Flyby;Flyby@hotmail.com;2:41:54,554
Flyby;Flyby@hotmail.com;3:04:34,518
Flyby;Flyby@hotmail.com;1:09:31,416
Flyby;Flyby@hotmail.com;2:29:48,431
Flyby;Flyby@hotmail.com;3:35:21,674
Mr.October;Mr.October@yahoo.com;2:06:13,811
Mr.October;Mr.October@yahoo.com;2:01:50,303
Mr.October;Mr.October@yahoo.com;1:46:19,277
Mr.October;Mr.October@yahoo.com;2:47:17,148
Mr.October;Mr.October@yahoo.com;1:26:20,715
Immortal;Immortal@yahoo.com;3:39:07,250
Immortal;Immortal@yahoo.com;1:30:30,881
Immortal;Immortal@yahoo.com;2:47:07,562
Immortal;Immortal@yahoo.com;1:46:51,777
Immortal;Immortal@yahoo.com;2:00:45,861
L.L;L.L@yahoo.com;2:21:36,138
L.L;L.L@yahoo.com;3:04:50,715
L.L;L.L@yahoo.com;1:21:22,217
L.L;L.L@yahoo.com;1:10:39,278
L.L;L.L@yahoo.com;2:56:49,129
