apodo;correo;tiempo
Baldur;Baldur@gmail.com;2:11:49,556
Baldur;Baldur@gmail.com;2:19:04,672
Baldur;Baldur@gmail.com;3:55:46,949
Baldur;Baldur@gmail.com;1:58:09,415
Baldur;Baldur@gmail.com;1:04:21,932
Purunga;Purunga@gmail.com;3:48:07,623
Purunga;Purunga@gmail.com;1:16:23,123
Purunga;Purunga@gmail.com;1:48:08,511
Purunga;Purunga@gmail.com;2:46:08,525
Purunga;Purunga@gmail.com;2:54:03,323
Fly;Fly@gmail.com;3:32:33,522
Fly;Fly@gmail.com;1:10:41,741
Fly;Fly@gmail.com;3:03:56,843
Fly;Fly@gmail.com;2:06:51,820
Fly;Fly@gmail.com;2:02:15,929
