apodo;correo;tiempo
Berryo;Berryo@gmail.com;1:57:57,618
Berryo;Berryo@gmail.com;3:45:39,751
Berryo;Berryo@gmail.com;2:47:53,581
Berryo;Berryo@gmail.com;3:38:52,134
Berryo;Berryo@gmail.com;2:57:37,277
Belle;Belle@gmail.com;3:58:01,552
Belle;Belle@gmail.com;1:11:07,853
Belle;Belle@gmail.com;3:18:21,811
Belle;Belle@gmail.com;3:39:40,352
Belle;Belle@gmail.com;1:25:03,536
Dragontooth;Dragontooth@hotmail.com;1:35:09,452
Dragontooth;Dragontooth@hotmail.com;3:55:12,734
Dragontooth;Dragontooth@hotmail.com;2:38:05,082
Dragontooth;Dragontooth@hotmail.com;2:21:19,963
Dragontooth;Dragontooth@hotmail.com;2:28:19,369
Lord_Gravius;Lord_Gravius@vtr.net;1:55:55,699
Lord_Gravius;Lord_Gravius@vtr.net;2:13:31,137
Lord_Gravius;Lord_Gravius@vtr.net;2:02:09,685
Lord_Gravius;Lord_Gravius@vtr.net;2:37:07,322
Lord_Gravius;Lord_Gravius@vtr.net;3:07:16,251
Diet_Coke;Diet_Coke@hotmail.com;3:26:21,077
Diet_Coke;Diet_Coke@hotmail.com;2:30:05,983
Diet_Coke;Diet_Coke@hotmail.com;3:58:58,341
Diet_Coke;Diet_Coke@hotmail.com;3:31:24,851
Diet_Coke;Diet_Coke@hotmail.com;2:47:43,247
