apodo;correo;tiempo
Doc;Doc@email.com;2:42:57,748
Doc;Doc@email.com;2:01:44,548
Doc;Doc@email.com;3:41:28,274
Doc;Doc@email.com;3:51:18,662
Doc;Doc@email.com;2:22:25,977
Dirt;Dirt@hotmail.com;3:30:39,087
Dirt;Dirt@hotmail.com;3:12:35,531
Dirt;Dirt@hotmail.com;3:49:39,646
Dirt;Dirt@hotmail.com;2:28:49,123
Dirt;Dirt@hotmail.com;3:36:56,129
Intelectual;Intelectual@yahoo.com;3:07:01,581
Intelectual;Intelectual@yahoo.com;2:09:40,439
Intelectual;Intelectual@yahoo.com;3:49:31,877
Intelectual;Intelectual@yahoo.com;1:40:22,870
Intelectual;Intelectual@yahoo.com;3:01:59,750
