apodo;correo;tiempo
Short_Shorts;Short_Shorts@email.com;3:43:07,459
Short_Shorts;Short_Shorts@email.com;2:36:25,938
Short_Shorts;Short_Shorts@email.com;2:50:01,982
Short_Shorts;Short_Shorts@email.com;3:03:52,612
Short_Shorts;Short_Shorts@email.com;3:16:44,735
EraVenenosa;EraVenenosa@gmail.com;3:27:10,060
EraVenenosa;EraVenenosa@gmail.com;3:37:58,088
EraVenenosa;EraVenenosa@gmail.com;2:59:00,536
EraVenenosa;EraVenenosa@gmail.com;2:21:12,063
EraVenenosa;EraVenenosa@gmail.com;3:02:56,436
Squirt;Squirt@gmail.com;1:48:13,803
Squirt;Squirt@gmail.com;2:28:46,180
Squirt;Squirt@gmail.com;3:29:14,541
Squirt;Squirt@gmail.com;3:25:12,246
Squirt;Squirt@gmail.com;1:20:27,310
Locky;Locky@yahoo.com;2:24:15,390
Locky;Locky@yahoo.com;2:34:49,403
Locky;Locky@yahoo.com;2:43:39,457
Locky;Locky@yahoo.com;2:40:14,652
Locky;Locky@yahoo.com;3:21:05,183
Weiner;Weiner@email.com;2:55:26,544
Weiner;Weiner@email.com;2:45:58,592
Weiner;Weiner@email.com;1:54:51,622
Weiner;Weiner@email.com;2:14:15,355
Weiner;Weiner@email.com;3:28:38,525
Federico_the_Horrid;Federico_the_Horrid@hotmail.com;2:36:21,234
Federico_the_Horrid;Federico_the_Horrid@hotmail.com;3:56:17,505
Federico_the_Horrid;Federico_the_Horrid@hotmail.com;1:08:45,493
Federico_the_Horrid;Federico_the_Horrid@hotmail.com;1:13:30,293
Federico_the_Horrid;Federico_the_Horrid@hotmail.com;3:32:22,728
Pippin;Pippin@gmail.com;2:49:02,895
Pippin;Pippin@gmail.com;2:42:07,891
Pippin;Pippin@gmail.com;1:52:03,742
Pippin;Pippin@gmail.com;3:09:08,413
Pippin;Pippin@gmail.com;1:53:02,910
