apodo;correo;tiempo
Zoila_Cerda;Zoila_Cerda@gmail.com;1:26:58,982
Zoila_Cerda;Zoila_Cerda@gmail.com;3:36:05,835
Zoila_Cerda;Zoila_Cerda@gmail.com;2:04:20,212
Zoila_Cerda;Zoila_Cerda@gmail.com;2:47:32,180
Zoila_Cerda;Zoila_Cerda@gmail.com;1:30:28,171
Crumbles;Crumbles@email.com;1:55:43,876
Crumbles;Crumbles@email.com;2:50:07,516
Crumbles;Crumbles@email.com;1:18:18,337
Crumbles;Crumbles@email.com;1:08:35,726
Crumbles;Crumbles@email.com;3:58:06,324
Habbor;Habbor@vtr.net;3:13:18,336
Habbor;Habbor@vtr.net;3:35:58,178
Habbor;Habbor@vtr.net;1:26:29,597
Habbor;Habbor@vtr.net;3:06:56,136
Habbor;Habbor@vtr.net;1:20:45,778
Darius;Darius@email.com;1:51:02,021
Darius;Darius@email.com;2:26:40,751
Darius;Darius@email.com;1:45:02,979
Darius;Darius@email.com;1:40:23,864
Darius;Darius@email.com;2:10:10,175
