apodo;correo;tiempo
Tough_Guy;Tough_Guy@vtr.net;3:12:58,672
Tough_Guy;Tough_Guy@vtr.net;2:34:14,644
Tough_Guy;Tough_Guy@vtr.net;2:30:41,413
Tough_Guy;Tough_Guy@vtr.net;3:20:18,505
Tough_Guy;Tough_Guy@vtr.net;3:00:14,571
Lulu_the_Big;Lulu_the_Big@hotmail.com;3:09:50,248
Lulu_the_Big;Lulu_the_Big@hotmail.com;3:10:46,920
Lulu_the_Big;Lulu_the_Big@hotmail.com;3:56:49,732
Lulu_the_Big;Lulu_the_Big@hotmail.com;2:24:51,978
Lulu_the_Big;Lulu_the_Big@hotmail.com;1:24:33,655
Bacon;Bacon@yahoo.com;3:23:37,592
Bacon;Bacon@yahoo.com;1:23:56,030
Bacon;Bacon@yahoo.com;3:42:52,728
Bacon;Bacon@yahoo.com;3:50:36,215
Bacon;Bacon@yahoo.com;1:14:44,143
