apodo;correo;tiempo
Buck;Buck@yahoo.com;3:58:40,841
Buck;Buck@yahoo.com;1:43:40,201
Buck;Buck@yahoo.com;3:42:36,709
Buck;Buck@yahoo.com;1:49:13,692
Buck;Buck@yahoo.com;1:59:33,314
Junior;Junior@email.com;2:08:33,997
Junior;Junior@email.com;3:18:47,263
Junior;Junior@email.com;3:23:16,680
Junior;Junior@email.com;3:43:27,566
Junior;Junior@email.com;1:37:01,116
Pie_de_buey;Pie_de_buey@yahoo.com;1:38:13,450
Pie_de_buey;Pie_de_buey@yahoo.com;3:45:47,526
Pie_de_buey;Pie_de_buey@yahoo.com;3:58:28,934
Pie_de_buey;Pie_de_buey@yahoo.com;2:14:04,895
Pie_de_buey;Pie_de_buey@yahoo.com;2:36:48,835
