apodo;correo;tiempo
Bilbo;Bilbo@email.com;2:09:36,756
Bilbo;Bilbo@email.com;3:22:34,636
Bilbo;Bilbo@email.com;3:29:08,411
Bilbo;Bilbo@email.com;3:08:46,191
Bilbo;Bilbo@email.com;3:20:30,658
Hermano;Hermano@vtr.net;1:44:33,554
Hermano;Hermano@vtr.net;1:20:52,530
Hermano;Hermano@vtr.net;2:01:40,368
Hermano;Hermano@vtr.net;1:35:32,630
Hermano;Hermano@vtr.net;2:44:00,062
Amour;Amour@vtr.net;3:56:55,919
Amour;Amour@vtr.net;2:03:02,066
Amour;Amour@vtr.net;1:28:08,935
Amour;Amour@vtr.net;1:19:41,445
Amour;Amour@vtr.net;3:36:27,482
