apodo;correo;tiempo
Perejil;Perejil@email.com;3:12:16,535
Perejil;Perejil@email.com;1:34:07,664
Perejil;Perejil@email.com;2:02:14,973
Perejil;Perejil@email.com;1:51:25,442
Perejil;Perejil@email.com;3:00:00,575
Dunce;Dunce@email.com;2:55:05,945
Dunce;Dunce@email.com;1:46:28,247
Dunce;Dunce@email.com;3:48:04,420
Dunce;Dunce@email.com;3:38:30,128
Dunce;Dunce@email.com;1:25:38,015
Cassius;Cassius@hotmail.com;1:49:10,193
Cassius;Cassius@hotmail.com;3:26:36,969
Cassius;Cassius@hotmail.com;1:30:59,168
Cassius;Cassius@hotmail.com;2:44:28,947
Cassius;Cassius@hotmail.com;2:20:31,219
Boo_Boo;Boo_Boo@hotmail.com;3:45:46,785
Boo_Boo;Boo_Boo@hotmail.com;1:20:23,533
Boo_Boo;Boo_Boo@hotmail.com;1:07:01,587
Boo_Boo;Boo_Boo@hotmail.com;1:30:39,888
Boo_Boo;Boo_Boo@hotmail.com;3:41:25,273
