apodo;correo;tiempo
Lefty;Lefty@yahoo.com;2:50:38,318
Lefty;Lefty@yahoo.com;1:26:56,304
Lefty;Lefty@yahoo.com;2:45:54,121
Lefty;Lefty@yahoo.com;1:08:28,297
Lefty;Lefty@yahoo.com;2:39:21,300
Daria;Daria@email.com;1:30:28,355
Daria;Daria@email.com;2:42:50,526
Daria;Daria@email.com;1:23:40,164
Daria;Daria@email.com;3:44:20,334
Daria;Daria@email.com;1:01:24,879
Pantera;Pantera@vtr.net;3:38:56,187
Pantera;Pantera@vtr.net;1:54:23,112
Pantera;Pantera@vtr.net;1:53:33,560
Pantera;Pantera@vtr.net;3:15:16,304
Pantera;Pantera@vtr.net;3:50:39,053
Eagle;Eagle@hotmail.com;2:38:18,517
Eagle;Eagle@hotmail.com;2:01:39,351
Eagle;Eagle@hotmail.com;2:27:33,170
Eagle;Eagle@hotmail.com;3:37:53,608
Eagle;Eagle@hotmail.com;3:46:23,171
Savage;Savage@yahoo.com;2:09:44,454
Savage;Savage@yahoo.com;3:22:15,265
Savage;Savage@yahoo.com;3:15:29,598
Savage;Savage@yahoo.com;3:37:56,878
Savage;Savage@yahoo.com;3:11:50,907
