apodo;correo;tiempo
Elsa_mmy;Elsa_mmy@vtr.net;3:29:32,477
Elsa_mmy;Elsa_mmy@vtr.net;3:31:01,583
Elsa_mmy;Elsa_mmy@vtr.net;3:50:48,696
Elsa_mmy;Elsa_mmy@vtr.net;1:54:04,776
Elsa_mmy;Elsa_mmy@vtr.net;1:44:28,634
Kit-Kat;Kit-Kat@vtr.net;3:26:57,303
Kit-Kat;Kit-Kat@vtr.net;1:00:06,391
Kit-Kat;Kit-Kat@vtr.net;2:06:17,415
Kit-Kat;Kit-Kat@vtr.net;2:42:12,708
Kit-Kat;Kit-Kat@vtr.net;2:04:05,953
Sweet_Tea;Sweet_Tea@yahoo.com;1:51:31,513
Sweet_Tea;Sweet_Tea@yahoo.com;1:52:48,009
Sweet_Tea;Sweet_Tea@yahoo.com;3:39:53,779
Sweet_Tea;Sweet_Tea@yahoo.com;2:23:45,450
Sweet_Tea;Sweet_Tea@yahoo.com;3:35:05,833
4-Wheel;4-Wheel@vtr.net;3:39:12,808
4-Wheel;4-Wheel@vtr.net;3:18:00,015
4-Wheel;4-Wheel@vtr.net;1:46:28,247
4-Wheel;4-Wheel@vtr.net;3:11:29,024
4-Wheel;4-Wheel@vtr.net;3:17:25,724
ClashforCash;ClashforCash@vtr.net;3:36:27,690
ClashforCash;ClashforCash@vtr.net;2:28:19,346
ClashforCash;ClashforCash@vtr.net;2:33:07,830
ClashforCash;ClashforCash@vtr.net;2:58:26,968
ClashforCash;ClashforCash@vtr.net;1:03:39,282
Isis;Isis@gmail.com;3:08:16,015
Isis;Isis@gmail.com;2:32:35,377
Isis;Isis@gmail.com;2:09:58,796
Isis;Isis@gmail.com;3:46:49,671
Isis;Isis@gmail.com;1:16:05,065
Lewis_the_Louis;Lewis_the_Louis@vtr.net;2:44:11,789
Lewis_the_Louis;Lewis_the_Louis@vtr.net;3:23:57,619
Lewis_the_Louis;Lewis_the_Louis@vtr.net;2:06:38,271
Lewis_the_Louis;Lewis_the_Louis@vtr.net;1:26:25,299
Lewis_the_Louis;Lewis_the_Louis@vtr.net;3:45:50,978
