apodo;correo;tiempo
Con;Con@vtr.net;1:58:05,410
Con;Con@vtr.net;3:49:26,802
Con;Con@vtr.net;3:25:14,305
Con;Con@vtr.net;2:38:17,460
Con;Con@vtr.net;3:20:51,728
Lady;Lady@email.com;1:02:09,132
Lady;Lady@email.com;1:53:30,645
Lady;Lady@email.com;3:12:19,570
Lady;Lady@email.com;1:50:14,587
Lady;Lady@email.com;3:49:01,210
Ancillary_Berry;Ancillary_Berry@gmail.com;2:23:41,586
Ancillary_Berry;Ancillary_Berry@gmail.com;1:15:42,212
Ancillary_Berry;Ancillary_Berry@gmail.com;2:52:33,940
Ancillary_Berry;Ancillary_Berry@gmail.com;3:51:33,786
Ancillary_Berry;Ancillary_Berry@gmail.com;2:39:46,921
Lulubug;Lulubug@gmail.com;3:21:14,754
Lulubug;Lulubug@gmail.com;1:41:12,821
Lulubug;Lulubug@gmail.com;1:48:06,911
Lulubug;Lulubug@gmail.com;1:19:04,218
Lulubug;Lulubug@gmail.com;1:02:09,135
