apodo;correo;tiempo
ThikerBlow;ThikerBlow@yahoo.com;3:06:39,070
ThikerBlow;ThikerBlow@yahoo.com;1:45:43,261
ThikerBlow;ThikerBlow@yahoo.com;1:00:19,772
ThikerBlow;ThikerBlow@yahoo.com;3:49:01,210
ThikerBlow;ThikerBlow@yahoo.com;3:46:08,311
Grease;Grease@gmail.com;3:38:52,856
Grease;Grease@gmail.com;2:26:51,720
Grease;Grease@gmail.com;2:03:43,558
Grease;Grease@gmail.com;1:05:53,931
Grease;Grease@gmail.com;2:20:59,358
PB&J;PB&J@vtr.net;3:32:58,552
PB&J;PB&J@vtr.net;1:51:43,919
PB&J;PB&J@vtr.net;2:02:48,219
PB&J;PB&J@vtr.net;3:31:46,932
PB&J;PB&J@vtr.net;1:51:11,985
Nemat;Nemat@vtr.net;3:00:34,775
Nemat;Nemat@vtr.net;3:10:06,815
Nemat;Nemat@vtr.net;1:37:37,874
Nemat;Nemat@vtr.net;1:52:24,882
Nemat;Nemat@vtr.net;1:23:10,746
