apodo;correo;tiempo
Contemporary_Berry;Contemporary_Berry@email.com;1:31:57,960
Contemporary_Berry;Contemporary_Berry@email.com;2:28:03,747
Contemporary_Berry;Contemporary_Berry@email.com;3:36:43,415
Contemporary_Berry;Contemporary_Berry@email.com;1:27:56,551
Contemporary_Berry;Contemporary_Berry@email.com;3:16:12,746
Sunday;Sunday@vtr.net;1:43:07,674
Sunday;Sunday@vtr.net;1:18:24,907
Sunday;Sunday@vtr.net;3:38:07,668
Sunday;Sunday@vtr.net;3:43:07,459
Sunday;Sunday@vtr.net;2:44:43,073
Winnie;Winnie@gmail.com;2:34:18,204
Winnie;Winnie@gmail.com;3:38:42,781
Winnie;Winnie@gmail.com;2:39:10,026
Winnie;Winnie@gmail.com;2:27:29,822
Winnie;Winnie@gmail.com;2:29:48,599
