apodo;correo;tiempo
Bean;Bean@yahoo.com;3:37:17,692
Bean;Bean@yahoo.com;1:42:41,275
Bean;Bean@yahoo.com;2:20:07,850
Bean;Bean@yahoo.com;2:29:51,994
Bean;Bean@yahoo.com;1:36:10,717
Axel;Axel@yahoo.com;2:30:19,046
Axel;Axel@yahoo.com;2:17:54,306
Axel;Axel@yahoo.com;1:22:26,743
Axel;Axel@yahoo.com;2:35:23,226
Axel;Axel@yahoo.com;3:41:15,711
Morgoth;Morgoth@hotmail.com;3:16:16,182
Morgoth;Morgoth@hotmail.com;1:24:28,915
Morgoth;Morgoth@hotmail.com;3:00:45,833
Morgoth;Morgoth@hotmail.com;3:32:33,522
Morgoth;Morgoth@hotmail.com;1:24:28,915
Anakkin;Anakkin@gmail.com;1:00:49,009
Anakkin;Anakkin@gmail.com;3:48:21,642
Anakkin;Anakkin@gmail.com;3:57:26,357
Anakkin;Anakkin@gmail.com;1:48:46,000
Anakkin;Anakkin@gmail.com;2:05:40,859
