apodo;correo;tiempo
The_Chief;The_Chief@gmail.com;3:01:57,751
The_Chief;The_Chief@gmail.com;3:39:00,587
The_Chief;The_Chief@gmail.com;3:17:12,585
The_Chief;The_Chief@gmail.com;1:59:54,712
The_Chief;The_Chief@gmail.com;1:57:42,953
Hombre_de_Acero;Hombre_de_Acero@gmail.com;3:41:33,888
Hombre_de_Acero;Hombre_de_Acero@gmail.com;3:49:01,960
Hombre_de_Acero;Hombre_de_Acero@gmail.com;3:02:00,099
Hombre_de_Acero;Hombre_de_Acero@gmail.com;3:43:53,855
Hombre_de_Acero;Hombre_de_Acero@gmail.com;2:04:20,212
Vicho;Vicho@vtr.net;2:36:07,175
Vicho;Vicho@vtr.net;2:22:56,823
Vicho;Vicho@vtr.net;3:50:54,841
Vicho;Vicho@vtr.net;1:46:28,247
Vicho;Vicho@vtr.net;1:08:39,357
