apodo;correo;tiempo
Shamy_Rock;Shamy_Rock@vtr.net;2:53:13,050
Shamy_Rock;Shamy_Rock@vtr.net;1:23:14,550
Shamy_Rock;Shamy_Rock@vtr.net;1:45:22,968
Shamy_Rock;Shamy_Rock@vtr.net;2:29:57,589
Shamy_Rock;Shamy_Rock@vtr.net;1:53:20,410
Fatty;Fatty@gmail.com;3:35:34,775
Fatty;Fatty@gmail.com;1:30:16,645
Fatty;Fatty@gmail.com;3:00:29,551
Fatty;Fatty@gmail.com;3:56:58,872
Fatty;Fatty@gmail.com;1:05:04,537
My_knight;My_knight@yahoo.com;2:45:10,175
My_knight;My_knight@yahoo.com;3:54:24,761
My_knight;My_knight@yahoo.com;2:57:53,983
My_knight;My_knight@yahoo.com;2:53:47,536
My_knight;My_knight@yahoo.com;1:16:49,394
Atypical_Lulu;Atypical_Lulu@gmail.com;3:57:31,155
Atypical_Lulu;Atypical_Lulu@gmail.com;2:44:18,627
Atypical_Lulu;Atypical_Lulu@gmail.com;3:37:47,002
Atypical_Lulu;Atypical_Lulu@gmail.com;1:31:03,407
Atypical_Lulu;Atypical_Lulu@gmail.com;1:16:16,643
Dulzura;Dulzura@vtr.net;2:28:48,360
Dulzura;Dulzura@vtr.net;3:58:30,792
Dulzura;Dulzura@vtr.net;2:30:28,575
Dulzura;Dulzura@vtr.net;3:34:13,436
Dulzura;Dulzura@vtr.net;1:01:50,000
Cersei;Cersei@gmail.com;1:08:14,680
Cersei;Cersei@gmail.com;2:47:07,859
Cersei;Cersei@gmail.com;3:47:23,042
Cersei;Cersei@gmail.com;3:56:43,909
Cersei;Cersei@gmail.com;2:57:51,914
Maximus;Maximus@email.com;2:47:02,305
Maximus;Maximus@email.com;3:45:02,210
Maximus;Maximus@email.com;1:05:51,076
Maximus;Maximus@email.com;2:54:02,896
Maximus;Maximus@email.com;1:04:40,339
