apodo;correo;tiempo
Music_Man;Music_Man@vtr.net;3:20:32,576
Music_Man;Music_Man@vtr.net;3:49:43,755
Music_Man;Music_Man@vtr.net;3:51:11,081
Music_Man;Music_Man@vtr.net;1:05:09,702
Music_Man;Music_Man@vtr.net;1:22:56,140
Elba_Lazo;Elba_Lazo@yahoo.com;1:52:33,706
Elba_Lazo;Elba_Lazo@yahoo.com;3:52:43,700
Elba_Lazo;Elba_Lazo@yahoo.com;1:48:14,918
Elba_Lazo;Elba_Lazo@yahoo.com;1:13:30,867
Elba_Lazo;Elba_Lazo@yahoo.com;2:13:46,415
Lulu_the_Brief;Lulu_the_Brief@yahoo.com;1:57:46,862
Lulu_the_Brief;Lulu_the_Brief@yahoo.com;1:59:56,729
Lulu_the_Brief;Lulu_the_Brief@yahoo.com;2:47:42,741
Lulu_the_Brief;Lulu_the_Brief@yahoo.com;3:00:02,379
Lulu_the_Brief;Lulu_the_Brief@yahoo.com;1:05:00,730
