apodo;correo;tiempo
Lulu_the_Bland;Lulu_the_Bland@vtr.net;1:14:28,952
Lulu_the_Bland;Lulu_the_Bland@vtr.net;1:05:43,566
Lulu_the_Bland;Lulu_the_Bland@vtr.net;2:21:03,871
Lulu_the_Bland;Lulu_the_Bland@vtr.net;1:48:27,533
Lulu_the_Bland;Lulu_the_Bland@vtr.net;1:43:11,074
Amazing_Federico;Amazing_Federico@hotmail.com;3:34:19,135
Amazing_Federico;Amazing_Federico@hotmail.com;1:36:08,897
Amazing_Federico;Amazing_Federico@hotmail.com;2:05:13,811
Amazing_Federico;Amazing_Federico@hotmail.com;1:19:09,942
Amazing_Federico;Amazing_Federico@hotmail.com;3:55:07,161
Coach;Coach@email.com;2:03:13,972
Coach;Coach@email.com;1:24:52,430
Coach;Coach@email.com;1:41:36,510
Coach;Coach@email.com;3:33:36,710
Coach;Coach@email.com;2:38:53,004
