apodo;correo;tiempo
Smokin;Smokin@email.com;2:15:30,440
Smokin;Smokin@email.com;2:05:13,811
Smokin;Smokin@email.com;1:33:05,010
Smokin;Smokin@email.com;1:51:16,434
Smokin;Smokin@email.com;2:36:54,472
Babs;Babs@gmail.com;2:52:42,445
Babs;Babs@gmail.com;3:14:50,660
Babs;Babs@gmail.com;2:44:15,411
Babs;Babs@gmail.com;3:51:00,181
Babs;Babs@gmail.com;2:18:56,259
Problema;Problema@hotmail.com;1:58:32,769
Problema;Problema@hotmail.com;2:19:10,607
Problema;Problema@hotmail.com;3:22:31,556
Problema;Problema@hotmail.com;3:26:58,652
Problema;Problema@hotmail.com;3:53:00,141
Federicokitten;Federicokitten@gmail.com;1:04:31,758
Federicokitten;Federicokitten@gmail.com;1:19:22,449
Federicokitten;Federicokitten@gmail.com;1:02:11,740
Federicokitten;Federicokitten@gmail.com;3:16:53,959
Federicokitten;Federicokitten@gmail.com;1:48:14,918
Autumn;Autumn@gmail.com;2:49:20,454
Autumn;Autumn@gmail.com;1:00:34,376
Autumn;Autumn@gmail.com;3:30:28,709
Autumn;Autumn@gmail.com;1:48:31,093
Autumn;Autumn@gmail.com;1:38:42,336
