apodo;correo;tiempo
Lover_boy;Lover_boy@email.com;2:01:32,508
Lover_boy;Lover_boy@email.com;1:28:55,651
Lover_boy;Lover_boy@email.com;3:08:28,817
Lover_boy;Lover_boy@email.com;1:25:39,267
Lover_boy;Lover_boy@email.com;1:08:53,849
Pookie;Pookie@hotmail.com;1:05:24,538
Pookie;Pookie@hotmail.com;1:01:50,999
Pookie;Pookie@hotmail.com;3:53:21,063
Pookie;Pookie@hotmail.com;1:46:40,300
Pookie;Pookie@hotmail.com;3:28:04,449
Seth;Seth@yahoo.com;2:39:28,782
Seth;Seth@yahoo.com;2:09:44,454
Seth;Seth@yahoo.com;3:46:54,698
Seth;Seth@yahoo.com;3:54:55,321
Seth;Seth@yahoo.com;1:48:21,346
Pinata;Pinata@gmail.com;3:04:06,113
Pinata;Pinata@gmail.com;3:15:29,755
Pinata;Pinata@gmail.com;3:40:34,135
Pinata;Pinata@gmail.com;3:37:05,165
Pinata;Pinata@gmail.com;3:06:10,349
