apodo;correo;tiempo
sombra_delgada;sombra_delgada@vtr.net;2:46:16,561
sombra_delgada;sombra_delgada@vtr.net;3:07:42,283
sombra_delgada;sombra_delgada@vtr.net;1:02:17,964
sombra_delgada;sombra_delgada@vtr.net;3:22:09,510
sombra_delgada;sombra_delgada@vtr.net;1:11:34,585
Rosquilla;Rosquilla@email.com;3:25:43,832
Rosquilla;Rosquilla@email.com;1:54:39,086
Rosquilla;Rosquilla@email.com;2:28:02,839
Rosquilla;Rosquilla@email.com;1:45:08,505
Rosquilla;Rosquilla@email.com;3:46:49,671
Ulf;Ulf@yahoo.com;1:04:16,324
Ulf;Ulf@yahoo.com;3:17:12,585
Ulf;Ulf@yahoo.com;2:02:16,428
Ulf;Ulf@yahoo.com;1:14:18,301
Ulf;Ulf@yahoo.com;2:46:18,936
Guapo;Guapo@hotmail.com;1:01:40,641
Guapo;Guapo@hotmail.com;2:58:58,194
Guapo;Guapo@hotmail.com;3:32:43,345
Guapo;Guapo@hotmail.com;3:07:41,651
Guapo;Guapo@hotmail.com;3:05:57,632
Skull_Kid;Skull_Kid@hotmail.com;3:32:57,111
Skull_Kid;Skull_Kid@hotmail.com;1:35:53,655
Skull_Kid;Skull_Kid@hotmail.com;3:32:00,235
Skull_Kid;Skull_Kid@hotmail.com;2:26:28,350
Skull_Kid;Skull_Kid@hotmail.com;3:00:32,229
