apodo;correo;tiempo
Herp_Derp;Herp_Derp@gmail.com;2:58:19,098
Herp_Derp;Herp_Derp@gmail.com;1:16:35,939
Herp_Derp;Herp_Derp@gmail.com;3:49:16,580
Herp_Derp;Herp_Derp@gmail.com;2:18:21,360
Herp_Derp;Herp_Derp@gmail.com;1:09:29,088
Flaccid_Federico;Flaccid_Federico@vtr.net;2:48:24,083
Flaccid_Federico;Flaccid_Federico@vtr.net;3:22:09,510
Flaccid_Federico;Flaccid_Federico@vtr.net;3:20:42,179
Flaccid_Federico;Flaccid_Federico@vtr.net;1:19:30,569
Flaccid_Federico;Flaccid_Federico@vtr.net;1:44:55,242
