apodo;correo;tiempo
Forlorn_Federico;Forlorn_Federico@yahoo.com;3:48:39,097
Forlorn_Federico;Forlorn_Federico@yahoo.com;3:29:21,000
Forlorn_Federico;Forlorn_Federico@yahoo.com;3:48:19,000
Forlorn_Federico;Forlorn_Federico@yahoo.com;1:55:05,791
Forlorn_Federico;Forlorn_Federico@yahoo.com;3:42:18,523
Sanza;Sanza@vtr.net;1:33:01,689
Sanza;Sanza@vtr.net;2:16:21,412
Sanza;Sanza@vtr.net;1:25:20,873
Sanza;Sanza@vtr.net;1:31:12,400
Sanza;Sanza@vtr.net;3:37:50,620
Abhorrent_Federico;Abhorrent_Federico@vtr.net;1:58:51,004
Abhorrent_Federico;Abhorrent_Federico@vtr.net;1:08:34,448
Abhorrent_Federico;Abhorrent_Federico@vtr.net;3:00:53,135
Abhorrent_Federico;Abhorrent_Federico@vtr.net;2:41:38,045
Abhorrent_Federico;Abhorrent_Federico@vtr.net;3:17:28,905
Pelhaco_Costinha;Pelhaco_Costinha@gmail.com;1:30:29,179
Pelhaco_Costinha;Pelhaco_Costinha@gmail.com;3:26:02,268
Pelhaco_Costinha;Pelhaco_Costinha@gmail.com;2:24:15,390
Pelhaco_Costinha;Pelhaco_Costinha@gmail.com;2:33:15,637
Pelhaco_Costinha;Pelhaco_Costinha@gmail.com;1:11:18,435
Barbaric_Federico;Barbaric_Federico@email.com;2:37:09,796
Barbaric_Federico;Barbaric_Federico@email.com;1:00:49,121
Barbaric_Federico;Barbaric_Federico@email.com;3:15:34,991
Barbaric_Federico;Barbaric_Federico@email.com;1:43:58,695
Barbaric_Federico;Barbaric_Federico@email.com;2:58:37,656
