apodo;correo;tiempo
Hermione;Hermione@gmail.com;2:43:36,798
Hermione;Hermione@gmail.com;3:26:31,581
Hermione;Hermione@gmail.com;1:54:56,623
Hermione;Hermione@gmail.com;2:30:37,426
Hermione;Hermione@gmail.com;1:17:11,624
Adonildo;Adonildo@gmail.com;1:50:14,587
Adonildo;Adonildo@gmail.com;3:31:59,067
Adonildo;Adonildo@gmail.com;3:40:32,891
Adonildo;Adonildo@gmail.com;2:11:19,522
Adonildo;Adonildo@gmail.com;2:30:29,891
Tata;Tata@gmail.com;1:24:21,448
Tata;Tata@gmail.com;2:18:55,727
Tata;Tata@gmail.com;2:42:35,284
Tata;Tata@gmail.com;2:01:00,154
Tata;Tata@gmail.com;3:45:26,687
Rob;Rob@gmail.com;2:06:42,390
Rob;Rob@gmail.com;3:56:03,044
Rob;Rob@gmail.com;1:46:05,732
Rob;Rob@gmail.com;1:59:58,024
Rob;Rob@gmail.com;1:10:14,476
