apodo;correo;tiempo
Brochado;Brochado@email.com;2:15:22,232
Brochado;Brochado@email.com;3:27:57,303
Brochado;Brochado@email.com;1:44:11,155
Brochado;Brochado@email.com;1:33:50,067
Brochado;Brochado@email.com;3:32:22,728
Do_Lulu;Do_Lulu@hotmail.com;1:34:07,758
Do_Lulu;Do_Lulu@hotmail.com;2:50:26,253
Do_Lulu;Do_Lulu@hotmail.com;3:24:09,347
Do_Lulu;Do_Lulu@hotmail.com;3:46:01,091
Do_Lulu;Do_Lulu@hotmail.com;2:32:15,956
Lewa;Lewa@gmail.com;3:17:05,327
Lewa;Lewa@gmail.com;3:00:12,258
Lewa;Lewa@gmail.com;3:22:01,014
Lewa;Lewa@gmail.com;2:36:54,472
Lewa;Lewa@gmail.com;3:14:08,543
Dirty_Harry;Dirty_Harry@vtr.net;1:28:39,867
Dirty_Harry;Dirty_Harry@vtr.net;2:09:53,988
Dirty_Harry;Dirty_Harry@vtr.net;2:31:16,155
Dirty_Harry;Dirty_Harry@vtr.net;1:30:54,081
Dirty_Harry;Dirty_Harry@vtr.net;3:55:47,112
